index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
219,000666.SZ,666,经纬纺机,北京,多元金融,经纬纺织机械股份有限公司,主板,SZSE,19961210,S
220,000667.SZ,667,美好置业,云南,全国地产,美好置业集团股份有限公司,主板,SZSE,19961205,S
221,000668.SZ,668,荣丰控股,上海,区域地产,荣丰控股集团股份有限公司,主板,SZSE,19961210,N
222,000669.SZ,669,金鸿控股,吉林,供气供热,金鸿控股集团股份有限公司,主板,SZSE,19961210,N
223,000670.SZ,670,*ST盈方,湖北,元器件,盈方微电子股份有限公司,主板,SZSE,19961217,N
224,000671.SZ,671,阳光城,福建,区域地产,阳光城集团股份有限公司,主板,SZSE,19961218,S
225,000672.SZ,672,上峰水泥,甘肃,水泥,甘肃上峰水泥股份有限公司,主板,SZSE,19961218,S
226,000673.SZ,673,当代东方,山西,影视音像,当代东方投资股份有限公司,主板,SZSE,19970124,N
227,000676.SZ,676,智度股份,河南,互联网,智度科技股份有限公司,主板,SZSE,19961224,S
228,000677.SZ,677,恒天海龙,山东,化纤,恒天海龙股份有限公司,主板,SZSE,19961226,N
229,000678.SZ,678,襄阳轴承,湖北,机械基件,襄阳汽车轴承股份有限公司,主板,SZSE,19970106,N
230,000679.SZ,679,大连友谊,辽宁,百货,大连友谊(集团)股份有限公司,主板,SZSE,19970124,N
231,000680.SZ,680,山推股份,山东,工程机械,山推工程机械股份有限公司,主板,SZSE,19970122,N
232,000681.SZ,681,视觉中国,江苏,互联网,视觉(中国)文化发展股份有限公司,主板,SZSE,19970121,S
233,000682.SZ,682,东方电子,山东,软件服务,东方电子股份有限公司,主板,SZSE,19970121,S
234,000683.SZ,683,远兴能源,内蒙,化工原料,内蒙古远兴能源股份有限公司,主板,SZSE,19970131,S
235,000685.SZ,685,中山公用,广东,水务,中山公用事业集团股份有限公司,主板,SZSE,19970123,S
236,000686.SZ,686,东北证券,吉林,证券,东北证券股份有限公司,主板,SZSE,19970227,S
237,000687.SZ,687,华讯方舟,河北,通信设备,华讯方舟股份有限公司,主板,SZSE,19970221,N
238,000688.SZ,688,国城矿业,重庆,铅锌,国城矿业股份有限公司,主板,SZSE,19970120,S
239,000690.SZ,690,宝新能源,广东,火力发电,广东宝丽华新能源股份有限公司,主板,SZSE,19970128,S
240,000691.SZ,691,亚太实业,甘肃,区域地产,海南亚太实业发展股份有限公司,主板,SZSE,19970228,N
241,000692.SZ,692,惠天热电,辽宁,供气供热,沈阳惠天热电股份有限公司,主板,SZSE,19970227,N
242,000695.SZ,695,滨海能源,天津,广告包装,天津滨海能源发展股份有限公司,主板,SZSE,19970218,N
243,000697.SZ,697,炼石航空,陕西,航空,炼石航空科技股份有限公司,主板,SZSE,19970325,N
244,000698.SZ,698,沈阳化工,辽宁,化工原料,沈阳化工股份有限公司,主板,SZSE,19970220,N
245,000700.SZ,700,模塑科技,江苏,汽车配件,江南模塑科技股份有限公司,主板,SZSE,19970228,N
246,000701.SZ,701,厦门信达,福建,综合类,厦门信达股份有限公司,主板,SZSE,19970226,N
247,000702.SZ,702,正虹科技,湖南,饲料,湖南正虹科技发展股份有限公司,主板,SZSE,19970318,N
248,000703.SZ,703,恒逸石化,广西,化纤,恒逸石化股份有限公司,主板,SZSE,19970328,S
249,000705.SZ,705,浙江震元,浙江,医药商业,浙江震元股份有限公司,主板,SZSE,19970410,N
250,000707.SZ,707,ST双环,湖北,化工原料,湖北双环科技股份有限公司,主板,SZSE,19970415,N
251,000708.SZ,708,中信特钢,湖北,特种钢,中信泰富特钢集团股份有限公司,主板,SZSE,19970326,S
252,000709.SZ,709,河钢股份,河北,普钢,河钢股份有限公司,主板,SZSE,19970416,S
253,000710.SZ,710,贝瑞基因,四川,医疗保健,成都市贝瑞和康基因技术股份有限公司,主板,SZSE,19970422,S
254,000711.SZ,711,京蓝科技,黑龙江,软件服务,京蓝科技股份有限公司,主板,SZSE,19970411,N
255,000712.SZ,712,锦龙股份,广东,证券,广东锦龙发展股份有限公司,主板,SZSE,19970415,S
256,000713.SZ,713,丰乐种业,安徽,种植业,合肥丰乐种业股份有限公司,主板,SZSE,19970422,N
257,000715.SZ,715,中兴商业,辽宁,百货,中兴-沈阳商业大厦(集团)股份有限公司,主板,SZSE,19970508,N
258,000716.SZ,716,黑芝麻,广西,食品,南方黑芝麻集团股份有限公司,主板,SZSE,19970418,N
259,000717.SZ,717,韶钢松山,广东,普钢,广东韶钢松山股份有限公司,主板,SZSE,19970508,S
260,000718.SZ,718,苏宁环球,吉林,区域地产,苏宁环球股份有限公司,主板,SZSE,19970408,S
261,000719.SZ,719,中原传媒,河南,出版业,中原大地传媒股份有限公司,主板,SZSE,19970331,N
262,000720.SZ,720,新能泰山,山东,区域地产,山东新能泰山发电股份有限公司,主板,SZSE,19970509,S
263,000721.SZ,721,西安饮食,陕西,酒店餐饮,西安饮食股份有限公司,主板,SZSE,19970430,N
264,000722.SZ,722,湖南发展,湖南,水力发电,湖南发展集团股份有限公司,主板,SZSE,19970522,N
265,000723.SZ,723,美锦能源,山西,焦炭加工,山西美锦能源股份有限公司,主板,SZSE,19970515,S
266,000725.SZ,725,京东方A,北京,元器件,京东方科技集团股份有限公司,主板,SZSE,20010112,S
267,000726.SZ,726,鲁泰A,山东,纺织,鲁泰纺织股份有限公司,主板,SZSE,20001225,N
268,000727.SZ,727,华东科技,江苏,元器件,南京华东电子信息科技股份有限公司,主板,SZSE,19970520,N
269,000728.SZ,728,国元证券,安徽,证券,国元证券股份有限公司,主板,SZSE,19970616,S
270,000729.SZ,729,燕京啤酒,北京,啤酒,北京燕京啤酒股份有限公司,主板,SZSE,19970716,S
271,000731.SZ,731,四川美丰,四川,农药化肥,四川美丰化工股份有限公司,主板,SZSE,19970617,N
272,000732.SZ,732,泰禾集团,福建,区域地产,泰禾集团股份有限公司,主板,SZSE,19970704,S
273,000733.SZ,733,振华科技,贵州,元器件,中国振华(集团)科技股份有限公司,主板,SZSE,19970703,S
274,000735.SZ,735,罗牛山,海南,农业综合,罗牛山股份有限公司,主板,SZSE,19970611,S
275,000736.SZ,736,中交地产,重庆,全国地产,中交地产股份有限公司,主板,SZSE,19970425,N
276,000737.SZ,737,ST南风,山西,日用化工,南风化工集团股份有限公司,主板,SZSE,19970428,N
277,000738.SZ,738,航发控制,江苏,航空,中国航发动力控制股份有限公司,主板,SZSE,19970626,S
278,000739.SZ,739,普洛药业,浙江,化学制药,普洛药业股份有限公司,主板,SZSE,19970509,S
279,000750.SZ,750,国海证券,广西,证券,国海证券股份有限公司,主板,SZSE,19970709,S
280,000751.SZ,751,锌业股份,辽宁,铅锌,葫芦岛锌业股份有限公司,主板,SZSE,19970626,N
281,000752.SZ,752,*ST西发,西藏,啤酒,西藏银河科技发展股份有限公司,主板,SZSE,19970625,N
282,000753.SZ,753,漳州发展,福建,汽车服务,福建漳州发展股份有限公司,主板,SZSE,19970626,N
283,000755.SZ,755,山西路桥,山西,公路,山西路桥股份有限公司,主板,SZSE,19970627,N
284,000756.SZ,756,新华制药,山东,化学制药,山东新华制药股份有限公司,主板,SZSE,19970806,S
285,000757.SZ,757,浩物股份,四川,汽车配件,四川浩物机电股份有限公司,主板,SZSE,19970627,N
286,000758.SZ,758,中色股份,北京,铅锌,中国有色金属建设股份有限公司,主板,SZSE,19970416,S
287,000759.SZ,759,中百集团,湖北,超市连锁,中百控股集团股份有限公司,主板,SZSE,19970519,N
