ts_code,trade_date,open,ts_date_id,label_final,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma5_5,ma10_5,ma13_5,ma21_5,ma30_5,ma_v_5_5,ma_v_10_5,ma_v_13_5,ma_v_21_5,ma_v_30_5,ts_code_id,trade_date_id,name,area,industry,market,exchange,list_date,is_hs,is_ST,month,weekday,U-D,open_transform,high_transform,low_transform,pre_close_transform,amount_index_000001,pre_close_index_000001,amount_index_000001_shift_1,amount_index_000001_shift_2,amount_index_000001_shift_3,amount_index_000001_shift_4,amount_index_000001_shift_5,pre_close_index_000001_shift_1,pre_close_index_000001_shift_2,pre_close_index_000001_shift_3,pre_close_index_000001_shift_4,pre_close_index_000001_shift_5,amount_shift_1,amount_shift_2,amount_shift_3,amount_shift_4,amount_shift_5,pre_close_shift_1,pre_close_shift_2,pre_close_shift_3,pre_close_shift_4,pre_close_shift_5
000006.SZ,20120116,2.6828,100040008,1,2.8314,2.6704,2.7137,2.8934,-0.1797000000000004,-6.2107,,86663.6384,2.0241,2.42,2.6852,117591.514,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,4.0,,,,,,64030025.661,2275.01,0.001315872604259794,-0.13781353849819036,-0.296728097723705,0.030532298575240226,0.6224152328097823,-0.0004551753347689825,-0.004696063951168601,0.02206757746339682,0.05159252008995132,0.058906598797645926,-0.3641088290309827,5.405327116322398,4.055631540787787,7.425222595272789,16.57225544542165,0.09881512987999401,0.09623399257406987,0.1362708136977694,0.1674938465883873,0.16458039847051723
000006.SZ,20120117,2.6704,100040009,1,2.7385,2.6146,2.6456,2.7137,-0.0680999999999998,-2.5095,,28568.5527,0.6845,0.56,2.7051,125769.256,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,0.0,,,,,,42884791.206,2244.58,-0.3302393562506306,-0.3293580365681094,-0.4225414405125571,-0.5289761580005851,-0.30979002430172975,-0.013375765381251199,-0.013824852397534977,-0.018009015882793616,0.00839664134346264,0.037526665264549446,-0.6703513350300326,-0.7903793244238742,1.1115075325916095,0.6665821880007531,1.777363380606479,-0.06210686389714536,0.030571168160413106,0.028150337197847836,0.0657005969211434,0.09498446515756762
000006.SZ,20120118,2.7323,100040010,0,2.7881,2.627,2.7571,2.6456,0.1114999999999999,4.2145,0.04872728744932267,36204.0071,0.8522,0.66,2.7286,134118.02,2.6307,78645.174,,,,,,,,,,,-0.07730574857864822,,,,,-4.787852649073497,,,,,4.0,9.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,1.0,,0.015091040407496046,0.05983198388261679,-0.001406469760900239,0.005663891739841074,77406846.62,2206.193,0.8049953012052915,0.2089148148998429,0.21050559278565342,0.04230998651561073,-0.1498041784353924,-0.017102085913622913,-0.03024909780616349,-0.03069050449771209,-0.034803110059569195,-0.008849044651802048,0.26726780597464433,-0.5822468596010388,-0.7343544663757202,1.675845518126304,1.1120059528641366,-0.025094888897077727,-0.0856431879449783,0.0047090991948959314,0.002349018716374843,0.038956958843857886
000006.SZ,20120119,2.6828,100040011,1,2.7695,2.6766,2.6828,2.7571,-0.0743,-2.6949,-0.23053073095690216,28162.3027,0.6615,0.48,2.7385,140566.21,2.6474,83206.0,,,,,,,,,,,-0.07123298388358636,,,,,-4.4386501631406885,,,,,4.0,10.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,2.0,,0.032069199969781574,0.0461207222180251,0.011029689506685763,0.04143688146861059,80655237.044,2298.376,0.04196515638915966,0.8807422113020699,0.25964711416828684,0.26130464929685576,0.08605068810572122,0.0417837424015034,0.023967067335537284,0.01027072408472929,0.009810873769686722,0.005526428156433993,-0.22212194296028634,-0.014220181339462814,-0.6750389988242174,-0.7933601684430673,1.0814815125785153,0.042145449047475025,0.015992924789033462,-0.047107209511301686,0.04705301534254895,0.04459346821247241
000006.SZ,20120120,2.7323,100040012,1,2.7571,2.6704,2.7323,2.6828,0.0495000000000001,1.8451,-0.3165418807356504,26261.2264,0.6163,0.42,2.7063,93661.006,2.6722,87278.135,,,,,,,,,,,-0.02585193889541717,,,,,-0.15780580183284895,,,,,4.0,11.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,3.0,,0.003966768954419475,0.03177157398398314,-0.0006736022752788885,0.003966768954419475,63886737.692,2266.384,-0.20790341664797599,-0.17466295965228926,0.48972947973829994,-0.0022378246380630757,-0.0009248967259376466,-0.013919393519598268,0.02728274452869708,0.009714066774184965,-0.003791631685135539,-0.00424508116268292,-0.06750429182767077,-0.2746320503290367,-0.08076454989615209,-0.6969752610801995,-0.8073092439357072,-0.02694860541873709,0.014061082552162043,-0.01138666764933483,-0.07278634132854093,0.018836396779583726
000006.SZ,20120130,2.7633,100040013,1,2.7943,2.7075,2.7819,2.7323,0.0495999999999998,1.8153,-0.2844041312749404,29560.4375,0.6852,0.71,2.7199,67743.234,2.7026,92667.374,2.6542,75110.7338,,,,,,,,,-0.012922687323104406,,,,,0.4239105212983311,,,,,4.0,12.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,4.0,,0.010989417597868742,0.0339302893509953,0.0018130688966181184,0.010989417597868742,62906415.725,2296.075,-0.01534468658778859,-0.22005789046677093,-0.1873274978657179,0.4668700477711264,-0.017548172508142158,0.013100604310655125,-0.0010011416756876966,0.04074076927993136,0.02294193122989597,0.009259299959120882,0.1256305036843215,0.049645613673487,-0.18350370945541003,0.03471946270487829,-0.6589061105008949,0.01845087222305058,-0.008994958470857036,0.032771394012700336,0.006854110623871531,-0.055678440588926605
000006.SZ,20120131,2.6828,100040014,1,2.7633,2.6828,2.6828,2.7819,-0.0990999999999999,-3.5623,-0.5102809709539357,20302.7336,0.4795,0.69,2.7274,63775.39,2.7162,94772.323,2.667,77264.2423,,,,,,,,,-0.00824368784887804,,,,,0.49291749010584907,,,,,4.0,13.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,0.0,,0.017340402032250908,0.017340402032250908,-0.01229659082541798,0.024188204108681114,51868459.382,2319.118,-0.1754663052375013,-0.1881185163647032,-0.3569114507257092,-0.3299241391833358,0.2094837802251698,0.010035822000588014,0.02326790164420501,0.009024633045245744,0.05118545838917978,0.03320799436865695,-0.3131788526472249,-0.22689316596425216,-0.27908119530296793,-0.4392130809188799,-0.2893327914367885,0.01815320426014708,0.036939018935440576,0.008994958470857036,0.05151950408224972,0.025131738954195394
000006.SZ,20120201,2.7261,100040015,1,2.7323,2.6828,2.7199,2.6828,0.0371000000000001,1.3829,-0.7611007521255604,9670.0611,0.2294,0.35,2.7199,51719.568,2.7243,92918.794,2.6851,77515.6754,,,,,,,,,0.0031884482884996525,-0.03557988368114947,,,,0.6143727144197327,-0.18149390832296963,,,,4.0,14.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,1.0,1.0,,-0.015233270931982562,0.0029365341555628996,-0.015233270931982562,-0.015233270931982562,43777519.937,2285.038,-0.15598958483443626,-0.30408497396550727,-0.3147635719317393,-0.45722656653878574,-0.4344489945197047,-0.014695241897997398,-0.004806898729353269,0.008230732303087207,-0.005803228018392201,0.03573803379849351,-0.5237064480814544,-0.672871516194576,-0.6317742000046122,-0.6566310218659783,-0.7329008064413953,-0.03562313526726337,-0.01811660505800977,0.0,-0.02694860541873709,0.014061082552162043
000006.SZ,20120202,2.6951,100040016,1,2.7261,2.6456,2.6766,2.7199,-0.0432999999999998,-1.592,-0.7586476725506396,9650.891,0.2293,0.43,2.7187,43353.624,2.7286,91959.917,2.7004,78267.5785,,,,,,,,,0.007230235530399868,-0.030671602326811185,,,,0.6915786233405595,-0.10520776145951015,,,,4.0,15.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,2.0,2.0,,-0.0009162207725573358,-0.0009162207725573358,-0.030418529648904267,-0.0031884482884996525,48554972.307,2292.61,0.10913026541647869,-0.06388250421314592,-0.2281395824670474,-0.2399835386636102,-0.39799355768414996,0.0033137304499969438,-0.011430207518547918,-0.0015090970460458352,0.011571737181342663,-0.0025087279017880783,-0.0019824176705565163,-0.5246506608351498,-0.6735200214814141,-0.6325041773372777,-0.6573117225957521,0.013828835544953084,-0.022286926201516892,-0.00453830106503677,0.013828835544953084,-0.013492437706285554
000006.SZ,20120203,2.7695,100040017,1,2.7633,2.6642,2.7385,2.6766,0.0619,2.3126,-0.3520431956349429,19035.5458,0.4477,1.0,2.7199,40089.916,2.7131,66875.461,2.7152,79649.8931,,,,,,,,,-0.00502531131064547,-0.015305740588279214,,,,0.5719679115981308,0.23376615460447225,,,,4.0,16.0,深振业A,深圳,区域地产,0.0,0.0,19920427.0,0.0,0.0,2.0,3.0,,-0.00663447716634101,0.018502819652795786,-0.01802366296855985,-0.013453245365080446,57682360.382,2268.08,0.18798050212633197,0.31762512963298023,0.11208933269411137,-0.08304487360776272,-0.09711526263731768,-0.010699595657351315,-0.007421320783286792,-0.022007504577171155,-0.012192545975196757,0.0007483286150978442,0.9724133036006728,0.968503156613974,-0.06241463957346117,-0.3560465470106794,-0.275146350362373,-0.01591970293025475,-0.002311018339048666,-0.03785182788741498,-0.020385755590528076,-0.002311018339048666
