ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20140530,1325.187,1317.029,1329.978,1306.414,1318.719,6.468,0.4905,12574903.49,21473501.1841
399102.SZ,20140603,1325.539,1325.737,1336.583,1325.539,1325.187,0.352,0.0266,12791586.99,22022773.392
399102.SZ,20140604,1325.421,1323.744,1325.589,1308.542,1325.539,-0.118,-0.0089,13109901.2,22923652.5946
399102.SZ,20140605,1354.899,1324.318,1354.985,1322.358,1325.421,29.478,2.224,15641622.53,27550182.9281
399102.SZ,20140606,1352.397,1355.305,1363.458,1343.585,1354.899,-2.502,-0.1847,16552682.47,28537581.3775
399102.SZ,20140609,1334.209,1350.431,1351.785,1333.523,1352.397,-18.188,-1.3449,13532664.08,23049575.1718
399102.SZ,20140610,1357.04,1333.093,1358.114,1324.932,1334.209,22.831,1.7112,15779122.4,27618537.6509
399102.SZ,20140611,1370.806,1354.392,1372.654,1352.293,1357.04,13.766,1.0144,18025290.52,30652346.1252
399102.SZ,20140612,1369.836,1368.129,1377.929,1363.202,1370.806,-0.97,-0.0708,17077623.33,29256412.6629
399102.SZ,20140613,1390.626,1367.109,1393.669,1366.916,1369.836,20.79,1.5177,18362713.93,31890423.1412
399102.SZ,20140616,1404.307,1392.882,1405.884,1392.629,1390.626,13.681,0.9838,19278958.31,34018338.0123
399102.SZ,20140617,1389.317,1403.758,1403.758,1388.894,1404.307,-14.99,-1.0674,17134809.53,30727356.6095
399102.SZ,20140618,1372.302,1388.707,1393.539,1371.901,1389.317,-17.015,-1.2247,15282855.93,26536612.0555
399102.SZ,20140619,1326.989,1370.919,1376.835,1317.832,1372.302,-45.313,-3.302,16903318.67,28344334.115
399102.SZ,20140620,1345.171,1325.666,1346.338,1322.12,1326.989,18.182,1.3702,11907174.86,20364911.1064
399102.SZ,20140623,1375.401,1347.324,1379.893,1347.324,1345.171,30.23,2.2473,14514949.82,26060371.2587
399102.SZ,20140624,1384.063,1374.705,1384.848,1373.891,1375.401,8.662,0.6298,14517845.01,25453966.2218
